"fund_isin"
"LU1893896479"
"LU1893893294"
"LU1893893708"
"LU1896773915"
"LU0267387255"
"LU1953188833"
"LU1681041114"
"LU1686831030"
"LU1900066462"
"LU1144402481"
"IE00BG0VVF62"
"LU1419776528"
"LU1815001828"
"LU0828707843"
"LU0828707504"
"LU1587908077"
"LU2054450056"
"IE00B8095630"
"IE00BWX4BV00"
"LU1419775983"
"LU1587908820"
"CH0116771152"
"CH0266404075"
"CH0336206682"
"CH0445339549"
"LU0088432280"
"LU0088432793"
"LU0088432447"
"LU0431823821"
"LU0803003523"
"LU0431824399"
"LU1860333373"
"CH0016431741"
"CH0016431774"
"CH0029510879"
"CH0111018120"
"IE00BFNM3P36"
"IE00B4L5YC18"
"IE00BDQZN667"
"LI0253998061"
"LU1650118646"
"DE0009792283"
"DE000A0NAU29"
"DE000A1H6HH3"
"LU1055783184"
"LU1479966837"
"LU0164804360"
"IE00B61KDS97"
"IE00B90MJZ61"
"IE00BLZH2P13"
"IE00BP8G9G38"
"DE000A12BKF6"
"IE00BG1V1667"
"LU0396368242"
"LU0995120838"
"LU0813324794"
"LU1166641354"
"LU1268048490"
"LU1281940889"
"LU1322112647"
"LU1514167219"
"LU1663901848"
"LU1663931324"
"LU1747711031"
"LU1808485178"
"LU1829331476"
"LU1769943553"
"LU2054449983"
"DE000A2ADXF9"
"DE000A2DTNK0"
"FR0013393329"
"LU1599248827"
"LU0062142822"
"IE00BJ7B9340"
"IE00BGLNSH26"
"IE00BJLN9P83"
"LU0248044025"
"LU0149525270"
"LU0149725797"
"LU0636297581"
"LU0985320562"
"LU1721250774"
"LU1808453648"
"LU1834008945"
"LU1893896552"
"LU1883868819"
"LU1882447425"
"LU1883311224"
"LU1023699983"
"LU1854107221"
"CH0000823531"
"LI0020997255"
"LI0020997263"
"LU1225541801"
"LU1073906932"
"LU1099412550"
"LU1130246405"
"AT0000A21LP6"
"LU1067858057"
"LU1320042424"
"IE00BDR5GV14"
"IE00BDDRDW15"
"IE00BFNM3J75"
"LU1563454310"
"LU1792117696"
"LU1989772840"
"LU1681046006"
"LU1681040652"
"LU1681046774"
"LU1681040900"
"LU1681041031"
"LU1681040223"
"LU1681038243"
"LU1681038326"
"LU1681038599"
"LU1861132840"
"LU1893894342"
"LU1829219127"
"LU1829221024"
"LU1834988609"
"LU1834986900"
"LU1834983477"
"LU1900068328"
"LU1900067940"
"LU1900068161"
"LU1923627092"
"LU1900066629"
"LU1883311653"
"LU1883869973"
"LU1736383297"
"IE00B4WX2F32"
"IE00B5WJ1L72"
"IE00B658V969"
"IE00B7Y26570"
"IE00B884NX39"
"IE00B8QBHK14"
"IE00B8XWMB30"
"IE00B7VHNQ59"
"IE00B76YFP46"
"IE00B8XY1019"
"IE00BH6XX795"
"IE00BDFJYL11"
"IE00BF3N7219"
"IE00BDCXSJ26"
"IE00BFMWWN54"
"IE00BLY27S52"
"IE00BYXVW891"
"LU0392610902"
"IE00BYWY0C98"
"DE000A0B7JB7"
"LI0306626206"
"AT0000698071"
"IE0033609946"
"LU0345763949"
"LU1322516227"
"LU1992127883"
"LU2023372795"
"LU2039786699"
"LU2049429512"
"AT0000A0UFU5"
"IE00BH4GYB17"
"LU0511796764"
"IE00BF0W0P57"
"LU1753046736"
"LU1577536144"
"FR0013393220"
"DE0008471301"
"CH0016137736"
"DE0009799536"
"AT0000636824"
"AT0000A02FF9"
"DE000A0H0W99"
"DE000A0MS7F3"
"DE000A0M64G8"
"DE000DWS0UY5"
"DE000A1C2XK8"
"CH0142404869"
"BE6228801435"
"DE000A1JZLH6"
"DE000A1T75N3"
"DE000A1110J4"
"DE000A12BTG5"
"CH0270982215"
"DE000A1145P7"
"DE000A1J9FJ5"
"DE000A2DMT28"
"DE000A2H7N24"
"CH0421963809"
"DE000A2JQLE0"
"DE000A2PF0X1"
"LU0434032149"
"LU0506868503"
"LU0594557299"
"LU0790903446"
"LU0854923066"
"LU0815945547"
"LU0922501720"
"LU0851819986"
"LU0988402060"
"LU1097743592"
"LU0458985636"
"LU1138669772"
"LU1200256946"
"LU1200255203"
"LU1282649901"
"LU1299303229"
"LU1335031537"
"LU1419772022"
"LU1565691356"
"LU1479963651"
"LU1637934230"
"LU1623762843"
"LU1577534362"
"LU1645750719"
"LU1685651785"
"LU1687388972"
"LU1663962121"
"LU1808485848"
"LU1254138628"
"LU1815004335"
"LU1871076953"
"LU1871077506"
"LU1923622614"
"LU1957153601"
"LU2002381171"
"LU1997245177"
"LU2091501820"
"IE0030554277"
"LU0068133486"
"LU0118259661"
"LU0106824443"
"LU0176376811"
"LU0129487947"
"CH0021349706"
"LU0225284917"
"LU0225530384"
"LU0219455101"
"FI0008812011"
"LU0285832068"
"LU0297941386"
"GB00B64TSH70"
"IE00B65LCL41"
"IE00B3WGLP80"
"IE00B6TJN447"
"IE00B8XZ4G17"
"IE00BFLQFM89"
"IE00B433GD87"
"IE00BDZRXW98"
"GB00BMP3RX99"
"IE00BD358420"
"IE00BD5M7338"
"IE00BYP54N83"
"LI0364281506"
"IE00BD3FNT29"
"FR0013294758"
"IE00BD8QG463"
"IE00BYP54R22"
"IE00BDFK3280"
"IE00BFZ89957"
"IE00BF072W11"
"IE00BFY85M14"
"IE00BFY85J84"
"FR0013396934"
"IE00BJK9HS65"
"LU0823433429"
"LU0368236740"
"LU0396345034"
"LU0428702939"
"LU0395200107"
"LU0492943443"
"LU0516398475"
"LU0611395327"
"LU0640450085"
"LU0658025548"
"LU0792612896"
"LU0459991906"
"LU0851164367"
"LU0900496828"
"LU0923982770"
"LU0935022649"
"LU0658025621"
"LU0947481940"
"LU0943510494"
"LU0976564954"
"LU0912263752"
"LU0396353996"
"LU0782382831"
"LU1045435887"
"LU1079727068"
"LU1102506067"
"LU1127969910"
"LU1240770955"
"LU1225731170"
"LU1191877965"
"LU1220231333"
"LU1088704785"
"LU1273507795"
"LU1284738405"
"LU1159240107"
"LU1321847987"
"LU1321847714"
"LU1291103411"
"LU1325892591"
"LU0779217297"
"LU1248309152"
"LU1340703666"
"LU1442550114"
"LU1505874849"
"LU1469614280"
"LU1626020710"
"LU1689651096"
"LU1679117819"
"LU1713307699"
"LU1713307772"
"LU1248309079"
"LU1663838891"
"LU1774150145"
"LU1670628145"
"LU1670724886"
"LU1806347891"
"LU1775949032"
"LU1775957134"
"LU1775969147"
"LU1805264717"
"LU1840470048"
"LU1829332953"
"LU1875412717"
"LU1868837300"
"LU1868839777"
"LU1864952921"
"LU1865159351"
"LU1868842052"
"LU1892830321"
"LU1846577754"
"LU1893896800"
"LU1893892486"
"LU1846577671"
"LU1893892999"
"LU1891074632"
"LU1732803868"
"LU1879200605"
"LU1923635863"
"LU1946828917"
"LU1939255458"
"LU1815002982"
"LU1953144208"
"LU1932919886"
"LU1883849603"
"LU1941710722"
"LU2038037458"
"LU2039784728"
"LU2039785378"
"LU2039785964"
"LU2039786855"
"LU1997245250"
"LU1997245508"
"LU2008202314"
